vAyumaNdala: Karc/a__n     (Match Count: 3, Difference: 0)
hAnikAraka: wIn/a__adj     (Match Count: 2, Difference: 0)
parAbEMganI: ajAwI/__adj     (Match Count: 1, Difference: 0)
cakrIya: wIn/a__adj     (Match Count: 1, Difference: 1)
mahawva: rAw/a__n     (Match Count: 3, Difference: 0)
oYksIjana: calaciwr/a__n     (Match Count: 1, Difference: 1)
dAi: Apawwi/__n     (Match Count: 2, Difference: 0)
jalavARpa: Karc/a__n     (Match Count: 2, Difference: 1)
XUlakaNa: Karc/a__n     (Match Count: 2, Difference: 1)
Sahiwa: wIn/a__adj     (Match Count: 1, Difference: 1)
xvanxva: Karc/a__n     (Match Count: 3, Difference: 0)
avaSoRiwa: Karc/a__n     (Match Count: 2, Difference: 1)
janwu: qwu/__n     (Match Count: 2, Difference: 0)
xvanda: calaciwr/a__n     (Match Count: 1, Difference: 1)
gEsIya: wIn/a__adj     (Match Count: 1, Difference: 1)
svarUpa: rAw/a__n     (Match Count: 3, Difference: 0)
varRaNa: Karc/a__n     (Match Count: 3, Difference: 0)
vARpowsarjana: calaciwr/a__n     (Match Count: 1, Difference: 1)
XUlakaNA: ladak/A__n     (Match Count: 1, Difference: 2)
saMGanana: Karc/a__n     (Match Count: 2, Difference: 1)
oYksAida: Karc/a__n     (Match Count: 2, Difference: 1)
viRuvawa: Karc/a__n     (Match Count: 3, Difference: 0)
saMvahanIya: wIn/a__adj     (Match Count: 1, Difference: 1)
kaBI: ladak/I__n     (Match Count: 2, Difference: 1)
SAnwa: Karc/a__n     (Match Count: 3, Difference: 0)
kRoBamaNdala: calaciwr/a__n     (Match Count: 1, Difference: 1)
kRoBasImA: loh/A__n     (Match Count: 1, Difference: 1)
uparI: ajAwI/__adj     (Match Count: 1, Difference: 0)
maNdala: rAw/a__n     (Match Count: 3, Difference: 0)
samawApamaNdala: calaciwr/a__n     (Match Count: 1, Difference: 1)
maXyamaNdala: Karc/a__n     (Match Count: 2, Difference: 1)
maNDala: calaciwr/a__n     (Match Count: 1, Difference: 1)
moTAI: Axam/I__n     (Match Count: 1, Difference: 1)
vixyuwa: wIn/a__adj     (Match Count: 2, Difference: 0)
AveSiwa: wIn/a__adj     (Match Count: 1, Difference: 1)
AyanamaNdala: calaciwr/a__n     (Match Count: 1, Difference: 1)
anwima: wIn/a__adj     (Match Count: 2, Difference: 0)
gurUwvAkarRaNa: calaciwr/a__n     (Match Count: 1, Difference: 1)
Ayana: rAw/a__n     (Match Count: 3, Difference: 0)
cakraNa: Karc/a__n     (Match Count: 2, Difference: 1)
AksAIda: calaciwr/a__n     (Match Count: 1, Difference: 1)
BOjana: Karc/a__n     (Match Count: 2, Difference: 1)
kArbohAidreta: Karc/a__n     (Match Count: 2, Difference: 1)
rupa: rAw/a__n     (Match Count: 3, Difference: 0)
kArbanIkaraNa: calaciwr/a__n     (Match Count: 1, Difference: 1)
jalaBaNdAra: Karc/a__n     (Match Count: 2, Difference: 1)
wawva: rAw/a__n     (Match Count: 3, Difference: 0)
nAitreta: Karc/a__n     (Match Count: 3, Difference: 0)
sWAnAMwariwa: calaciwr/a__n     (Match Count: 1, Difference: 1)
sAMsa: rAw/a__n     (Match Count: 3, Difference: 0)
bahirmaNdala: Karc/a__n     (Match Count: 2, Difference: 1)
sabI: ladak/I__n     (Match Count: 3, Difference: 0)
sambaMXI: ajAwI/__adj     (Match Count: 1, Difference: 0)
anwara: rAw/a__n     (Match Count: 3, Difference: 0)
AreKa: rAw/a__n     (Match Count: 3, Difference: 0)
samBava: rAw/a__n   (Match Count: 4, Difference: 0)
Upara: wIn/a__adj   (Match Count: 8, Difference: 0)
BaNdAra: rAw/a__n   (Match Count: 4, Difference: 0)
