kyA: kyA/__p
kaba: kaba/__p
kahAz: vahAz/__p
kis: None
kin: Apan/A__p
ne: None
ke liye: None
ke sAWa: None
ke pAsa: None
ke pICe: None
ke Upara: None
ke bAre meM: None
ke xvArA: None
vAlA: kAl/A__n
Oura: None
aWavA: None
badZA: kAl/A__adj
camadZA: kAl/A__adj
camadZI: ladak/I__n
cidiyZA: None
gesira: None
gIjara: rAw/a__n
cidiyZAGara: None
cidiyAGara: None
AryAvarwa: rAw/a__n
DUzDZa: None
GadZA: kAl/A__adj
ladZA: KA/__v
ladZa: uT/a__v
ladZakA: kAl/A__adj
padZA: W/A__v
padZa: uT/a__v
pedZa: rAw/a__n
udZa: uT/a__v
xo: redio/__n
xOdZA: W/A__v
xOdZa: uT/a__v
nalasAja: None
nalasAjI: None
xvIpasamUha: None
xUra: wIn/a__adj
ganwavya: rAw/a__n
gumA: None
guma: wIn/a__adj
doYktara: None
manxira: rAw/a__n
calaciwra: None
saca: rAw/a__n
lomadZI: None
manwrI: ladak/I__n
sanwrI: None
tanwrI: None
wIna: rAw/a__n
xasa: rAw/a__n
aBAgA: kAl/A__adj
aBAgI: ajAwI/__adj
aBagna: None
aBAgya: None
abAhya: None
Aba: None
ABA: kAl/A__n
AbakArI: None
aBakRa: None
aBakRaNa: None
aBakRya: None
aBakwa: None
abala: None
abAla: None
abalA: kAl/A__n
aBaMga: None
aBaMgapaxa: None
aBaMjana: None
abaMXana: None
ABAra: rAw/a__n
abaraka: None
ABArI: None
aBARiwa: None
AbarU: None
aBarwqkA: None
ABAsa: rAw/a__n
aBAvagraswakRewra: None
aBAva: rAw/a__n
aBAvanA: None
aBAvapaxArWa: None
aBAvapramANa: None
aBAvI: None
aBAviwa: None
aBavya: None
aBAvya: None
abAXa: wIn/a__adj
abAXA: None
AbAxa: rAw/a__n
AbAxI: ladak/I__n
abAXiwa: None
aBaxra: wIn/a__adj
abaxXa: None
AbaxXa: wIn/a__adj
abaXya: None
abAXya: None
aBayacArI: None
aBaya: wIn/a__adj
aBayamuxrA: None
aBayaparigraha: None
aBayapawra: None
aBayavacana: None
aBayavana: None
aBayaxAna: None
abBakRa: None
abBakRaNa: None
abe: None
aBexa: None
aBexya: None
aBiBARaNa: rAw/a__n
aBiBava: None
aBiBAvaka: rAw/a__n
aBiBUwa: wIn/a__adj
aBicAra: None
aBicAraka: None
aBicArI: None
aBigama: None
aBigamana: None
aBigAmI: None
aBiGAwa: None
aBigqhIwa: None
aBigrahaNa: None
aBihawa: None
aBihiwa: None
aBihiwAnvayavAxa: None
aBi: None
aBijana: None
aBijAwa: None
ABijAwya: None
aBijFa: None
aBijFA: None
aBijFAna: None
aBijFAnapawra: None
aBijFApaka: None
aBijFApana: None
aBijFAwa: None
aBijiwa: None
aBikalpa: None
aBikalpanA: None
aBikaraNa: rAw/a__n
aBikarwwA: None
aBikaWana: rAw/a__n
aBikoSa: None
aBikramaNa: None
aBikraMxa: None
aBikriyA: None
aBiKyAna: None
aBiKyAwa: None
aBilakRiwa: None
aBilApa: None
aBilARA: kAl/A__n
aBilARa: None
aBilARI: ajAwI/__adj
aBilaRiwa: None
aBilAsA: None
aBilAsa: None
aBileKAgAra: None
aBileKa: rAw/a__n
aBileKana: rAw/a__n
aBiliKiwa: wIn/a__adj
aBilIna: None
aBimaMwraNa: None
aBimaMwriwa: None
aBimAna: rAw/a__n
aBimAnI: ladak/I__n
aBimanyu: None
aBimawa: wIn/a__adj
aBimawi: None
aBimuKa: None
ABimuKya: None
aBinaMxa: None
aBinaMxanagranWa: None
aBinaMxana: rAw/a__n
aBinaMxanapawra: None
aBinaMxanIya: None
aBinaMxiwa: None
aBinaMxya: None
aBinava: wIn/a__adj
aBinaya: rAw/a__n
aBinewA: pIdZ/A__n
aBiniRkramaNa: None
aBinirxeSa: None
aBiniveSa: None
aBiniveSiwa: None
aBiniviRta: None
aBinIwa: wIn/a__adj
aBinna: wIn/a__adj
aBinnawA: None
aBiprAya: rAw/a__n
aBiprewa: wIn/a__adj
aBIpsA: None
aBIpsiwa: None
aBipuRti: None
abIra: None
ABIra: None
aBirakRaka: None
aBirakRaNa: None
abirala: None
aBirAma: None
aBiramaNa: None
aBirawi: None
aBiRecana: None
aBiReka: rAw/a__n
abIrI: None
aBiRikwa: None
aBIRta: None
aBiruci: SAnwi/__n
aBIru: None
aBirUpa: None
aBisamaya: None
aBiSaMkA: None
aBiSaMsana: None
aBisaMwApa: None
aBisaMXAna: None
aBisaMXi: None
aBiSApa: None
aBiSapwa: wIn/a__adj
aBivacana: rAw/a__n
aBivaMciwa: None
aBivAMCiwa: None
aBivaMxanA: None
aBivaMxana: None
aBivaMxanIya: None
aBivaMxiwa: None
aBivaMxya: None
aBivAxana: rAw/a__n
aBivqwwi: None
aBivqxXi: SAnwi/__n
aBivyakwa: wIn/a__adj
aBivyakwi: Apawwi/__n
aBivyaMjaka: None
aBivyaMjanA: None
aBivyaMjana: None
aBivyApwi: None
aBIwa: None
aBiwApa: None
aBIwi: None
aBiXA: None
aBiXAna: None
aBiXAraNA: None
aBixarSana: None
aBixAwA: None
aBiXAyaka: None
aBiXeya: None
aBiyAcanA: None
aBiyAcana: None
aBiyaMwA: kAl/A__n
aBiyAna: rAw/a__n
aBiyAnI: None
aBiyoga: rAw/a__n
aBiyogAXIna: None
aBiyogI: None
aBiyojana: rAw/a__n
aBiyokwA: None
aBiyukwa: rAw/a__n
aBiyukwi: None
abjabAMXava: None
abjaBU: None
abjahaswa: None
abja: None
abjaja: None
abjakarNikA: None
abjanayana: None
abjAsana: None
abjavAhanA: None
abjavAhana: None
aBoga: None
ABoga: None
aBogI: None
aBogya: None
aBojya: None
aBokwA: None
aBokwavya: None
abola: None
aBOwika: None
aboXa: None
abrAhmaNa: None
abrahmaNya: None
abrAhmaNya: None
aBra: None
aBraka: None
aBrama: None
aBrAMwa: None
aBukwa: None
aBUmi: None
ABURaNa: rAw/a__n
ABURiwa: None
aBUwa: None
aBUwapUrva: wIn/a__adj
abuXa: None
abuxXi: None
abxa: None
abXijA: None
abXija: None
abXikaPa: None
abXinagarI: None
abXisAra: None
abXiSaya: None
abXixvIpA: None
aByAgama: None
aByAgawa: None
aByaMga: None
AByaMwara: None
aByarcana: None
aByarWana: None
aByarWI: None
aByarWiwa: None
aByAsa: rAw/a__n
aByAsakalA: None
aByAsayoga: None
aByAsI: None
aByasiwa: None
aByaswa: wIn/a__adj
aByupagama: None
aByupagawa: None
aByupewa: None
aByuwWAna: None
aByuwWiwa: None
aByuxaya: rAw/a__n
aByuxiwa: None
acAha: None
acAhI: None
acakacA: None
acakana: None
acakkA: None
acakra: None
acakRu: None
acAkRuRa: None
acakRuRka: None
acala: wIn/a__adj
acalA: None
acAlaka: None
acalAsapwamI: None
acamana: None
Acamana: rAw/a__n
AcamanI: None
AcamanIya: None
acaMBA: pIdZ/A__n
acaMBiwa: wIn/a__adj
acaMcala: None
acapalAhata: None
acapalI: None
AcAraBexa: None
AcArahIna: None
acara: None
AcAra: rAw/a__n
acAra: rAw/a__n
acaraja: rAw/a__n
AcaraNa: rAw/a__n
AcaraNIya: None
AcArasaMhiwA: None
AcAraSAswra: None
AcAravAna: None
AcAravicAra: None
AcAraxIpa: None
acArI: None
acariwa: None
Acariwa: None
AcAryaBogIna: None
AcAryA: None
AcArya: rAw/a__n
AcAryakaraNa: None
AcAryAnI: None
AcAryaxeva: None
acavA: None
acavAI: None
aCavAnI: None
acawura: None
acAwurya: None
acCAburA: None
acCAI: ladak/I__n
acCA: kAl/A__adj
AcCanna: None
acCApana: None
acCara: None
acCawa: None
AcCAxa: None
AcCAxaka: None
AcCAxana: rAw/a__n
AcCAxiwa: wIn/a__adj
acCinna: None
acCixra: None
acCotana: None
aceRta: None
acewa: wIn/a__adj
acewA: None
acewana: wIn/a__adj
acewanaka: None
acewanIkaraNa: None
acEwanya: None
aCexa: None
aCexya: None
acikiwsya: None
acikotI: None
aciMwa: None
aciMwA: None
aciMwanIya: None
aciMwiwa: None
aciMwya: None
aciMwyakarma: None
aciMwyakarmA: None
aciMwyarUpa: None
aciMwyAwmA: None
aciramqwa: None
aciraprasUwA: None
acirawA: None
aCixra: None
aCoBa: None
aCoha: None
aCopa: None
acUka: None
aCUwa: Karc/a__n
aCUwA: kAl/A__adj
aCUwoxXAra: None
acyuwa: None
acyuwAnaMxa: None
adabaMga: None
adabaMgA: None
AdabaMxa: None
adacala: None
adacana: None
adagadA: None
adaga: None
adagodA: None
adahula: None
Ada: Karc/a__n
adA: None
AdA: kAl/A__n
ada: None
adakA: None
adaMbara: None
AdaMbara: None
AdaMbarI: None
adaMda: None
adaMgAbAja: None
adaMgAbAjI: None
adaMgA: None
adasaTa: None
aDaula: None
ADawa: None
adawala: None
adawAlIsa: None
adawIsa: None
aDawiyA: None
adaxAra: None
addA: kAl/A__adj
aDEyA: None
adiga: wIn/a__adj
Aditara: None
adiyala: None
AdU: None
ADya: None
ADyakulIna: None
AdZI: None
AgAha: rAw/a__n
agahana: None
agahanI: None
agahaniyA: None
Aga: Karc/a__n
aGA: None
aGa: None
AgA: kAl/A__n
AgajanI: ladak/I__n
agala: Karc/a__n
agalA: kAl/A__adj
agama: wIn/a__adj
Agama: rAw/a__n
agamana: None
Agamana: rAw/a__n
agamanIyA: None
aGamAra: None
AgAmI: ajAwI/__adj
AgaMwuka: None
agamya: wIn/a__adj
agamyA: None
agamyarUpa: None
agaNana: None
agaNanIya: None
aGanASaka: None
agaNiwa: None
agaNya: None
agarA: None
AgAra: None
agarAI: None
agarasAra: None
aGAri: None
agarI: None
agarva: None
aGAsura: None
agaswa: rAw/a__n
agaswyagIwA: None
agaswya: rAw/a__n
agaswyakUta: None
agaswyamArga: None
agaswyasaMhiwA: None
agaswyavata: None
agaswyawIrWa: None
aGata: None
aGatiwaGatanApatIyasI: None
aGatiwa: None
agAU: None
aGavA: None
agavAnI: ladak/I__n
aGaviRa: None
Agawa: None
aGAwa: None
AGAwa: rAw/a__n
AGAwaka: None
aGAwI: None
agawi: None
agawika: None
agAXa: wIn/a__adj
ageha: None
aginawa: None
agiyA: None
agiyAra: None
Agneya: wIn/a__adj
AgneyapurANa: None
AgneyAswra: None
AgneyI: None
agnibANa: None
agnicakra: None
agni: SAnwi/__n
agnijvAlA: None
agnikalA: None
agnikAMda: rAw/a__n
agnikaNa: None
agnikarma: None
agnikArya: None
agnikewu: None
agnikriyA: None
agnikumAra: None
agnikuMda: None
agniloka: None
agnimAn: None
agnimaNi: None
agninakRawra: None
agninewra: None
agniparIkRA: None
agniparikriyA: None
agniparvawa: None
agnipraNayana: None
agnipraveSa: None
agniprawiRTA: None
agnipUjaka: None
agnisaMskAra: None
agnisevana: None
agniSiKA: None
agniSuxXi: None
agnivAhana: None
agnivarRA: None
agnivaXU: None
agnivixyA: None
agniwrewA: None
agnixAha: None
agnixaMda: None
agnixeva: None
agnixUwa: None
agnyAgAra: None
agnyAXAna: None
agnyupasWAna: None
agocara: None
aGodI: None
aGoRa: None
aGora: None
AGoRa: None
agora: None
aGoranAWa: None
aGorapaMWa: None
aGorapaMWI: None
aGorarUpa: None
aGorI: None
AgoSa: rAw/a__n
agqha: None
agraBAga: None
agrabIja: None
agraBUmi: None
agraga: None
agragAmI: None
Agraha: rAw/a__n
agraha: None
AgrahapUrvaka: None
AgrahAyaNa: None
AgrahI: None
agrAhya: wIn/a__adj
agrAhyA: None
agra: None
agrajA: None
agraja: None
agrajAXikAra: None
agrakara: None
agraleKa: None
agrAmya: None
aGrAna: None
agraNI: ajAwI/__adj
agrapAxa: None
agrapUjA: None
agrAsana: None
agrASana: None
agrasWAna: None
agravAla: rAw/a__n
AGrAwa: None
agraxAnI: None
agraxUwa: None
agrayAna: None
agrayAyI: None
agrayoXI: None
agresara: None
AGreya: None
agrima: wIn/a__adj
aguA: None
aguAI: ladak/I__n
aguAnI: None
agUDaBAva: None
agUDa: None
aguNa: None
aguNajFa: None
aguNaSIla: None
aguNavAxI: None
aguNI: None
AGUrNa: None
aguru: None
aguvA: None
aguvAnI: None
AhA: None
ahalyA: None
ahama: wIn/a__adj
aham: None
ahaM: None
ahaMkAra: rAw/a__n
Ahanana: None
Ahara: None
AhAra: rAw/a__n
AharaNa: None
aharaNIya: None
AhArapAka: None
AhArasaMBava: None
AhAravihAra: None
AhAravixyA: None
AhArI: None
ahArya: None
AhArya: None
ahaswAMwaraNIya: None
Ahata: rAw/a__n
ahavAla: None
Ahawa: rAw/a__n
ahAwA: kAl/A__adj
ahiMsA: kAl/A__n
ahiMsaka: None
ahiMsAwmaka: None
ahiMxI: None
ahIna: None
ahIra: rAw/a__n
AhiswA: None
ahivAwa: None
AhiwAgni: None
ahiwa: None
ahiwakara: None
AhlAxa: None
AhlAxiwa: None
Ahnika: None
ahoBAgya: None
ahqxaya: None
Ahuwi: SAnwi/__n
AhvAna: rAw/a__n
A: KA/__v
AiMxA: None
AInA: kAl/A__adj
ajaba: None
ajaBakRa: None
ajabaMXu: None
ajAcaka: None
ajaga: None
ajagallikA: None
ajagara: None
ajagarI: None
ajA: kAl/A__n
aja: None
ajajIva: None
Ajakala: rAw/a__n
kala: rAw/a__n
ajAKAnA: None
ajakarNa: None
ajakarNaka: None
ajalomA: None
AjamA: KA/__v
AjamAiSa: None
ajamAra: None
